school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;18;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;6;11;11;11
GP;F;17;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;4;11;11;11
GP;F;15;U;LE3;T;1;1;at_home;other;other;mother;1;2;3;yes;no;yes;no;yes;yes;yes;no;4;3;2;2;3;3;10;13;12;12
GP;F;15;U;GT3;T;4;2;health;services;home;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;3;2;2;1;1;5;2;14;14;14
GP;M;16;U;LE3;T;3;3;other;other;home;father;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;3;2;1;2;5;4;11;13;13
GP;M;16;U;LE3;T;4;3;services;other;reputation;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;4;2;1;2;3;10;12;12;12
GP;M;16;U;LE3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3;0;14;14;14
GP;F;17;U;GT3;A;4;4;other;teacher;home;mother;2;2;0;yes;yes;no;no;yes;yes;no;no;1;1;1;1;1;1;6;10;9;9
GP;M;15;U;LE3;A;3;2;services;other;home;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;4;2;2;1;1;1;0;15;14;16
GP;M;15;U;GT3;T;3;4;other;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;5;5;1;1;1;5;0;13;14;14
GP;F;17;U;GT3;T;2;1;at_home;services;course;mother;1;1;0;no;no;yes;no;no;yes;yes;yes;3;3;3;1;2;2;0;8;10;10
GP;F;16;U;GT3;T;4;4;teacher;health;reputation;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;4;4;1;1;1;2;0;11;12;12
GP;M;15;U;LE3;T;4;3;teacher;other;course;father;2;2;0;no;yes;yes;no;yes;yes;yes;no;4;4;5;2;4;5;0;12;15;15
GP;M;15;U;GT3;T;2;2;health;services;course;father;1;3;0;no;yes;yes;yes;no;yes;yes;yes;5;4;3;1;3;5;2;9;10;10
GP;M;16;U;LE3;A;2;2;services;services;reputation;other;2;2;0;no;yes;no;yes;no;yes;no;no;4;5;2;1;3;4;4;9;11;11
GP;F;16;U;GT3;T;4;4;health;other;home;mother;1;1;0;no;yes;no;yes;no;yes;yes;no;4;3;2;1;2;2;6;12;13;12
GP;F;16;U;GT3;T;4;4;services;services;reputation;mother;1;3;2;no;yes;yes;no;yes;yes;yes;no;2;2;2;1;2;4;4;14;14;14
GP;F;16;U;GT3;T;3;3;other;other;course;mother;3;2;0;yes;yes;no;yes;yes;yes;no;no;4;4;4;1;2;4;0;11;13;13
GP;M;17;U;GT3;T;3;2;services;services;course;mother;1;1;3;no;yes;yes;no;yes;yes;yes;no;5;5;5;1;4;5;2;11;11;11
GP;M;16;U;LE3;T;4;4;teacher;teacher;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;1;3;1;3;5;0;12;14;14
GP;M;15;U;GT3;T;4;4;health;health;reputation;father;1;1;0;no;yes;yes;no;yes;yes;yes;no;4;3;1;1;1;5;0;16;18;19
GP;M;15;U;GT3;T;1;1;other;other;course;other;1;1;0;no;yes;yes;yes;no;yes;yes;no;5;2;1;1;1;3;7;10;8;9
GP;M;16;U;LE3;T;2;2;other;other;reputation;father;2;2;0;no;no;yes;yes;yes;yes;yes;no;4;5;1;2;4;1;11;8;6;5
GP;M;16;U;LE3;T;2;2;other;other;home;father;1;2;0;no;yes;yes;no;no;yes;yes;no;5;4;2;1;3;5;3;13;12;12
GP;F;15;R;GT3;T;2;4;services;health;reputation;mother;1;3;0;yes;yes;yes;no;no;yes;yes;no;4;3;4;1;1;3;0;10;10;11
